status	action	phase	category	path	boundary
preserve	keep	all	shared-rpc	lib/lib{c,rpcsec_gss}/**	Generic RPC, XDR, and GSS functionality; edit only NFS-specific branches.
investigate	review	11	acl	sys/kern/subr_acl_nfs4.c	Preserve through NFS removal, then reassess UFS and ZFS consumers, naming, ABI, and semantics.
investigate	review	11	acl	lib/libc/posix1e/acl_*_nfs4.c	Preserve through NFS removal, then reassess the public ACL API and compatibility requirements.
preserve	keep	all	hardware	sys/dev/nfsmb/**	NVIDIA nForce SMBus controller is unrelated to Network File System.
preserve	keep	all	filesystem	sys/fs/unionfs/**	Union filesystem is unrelated despite the name suffix.
investigate	review	8	imported-decoder	contrib/tcpdump/{nfs.h,nfsfh.h,parsenfsfh.c,print-nfs.c}	Decide whether literal all-code scope outweighs preserving passive upstream protocol analysis.
investigate	review	5	automounter	usr.sbin/autofs/**	Preserve generic autofs but remove NFS-specific maps and /net behavior.
investigate	review	7	appliance-config	tools/tools/nanobsd/pcengines/ALIX_NFS	Remove or replace this NFS-root-only sample configuration during loader/diskless cleanup.
investigate	review	11	acl	{bin,lib,sys,tests}/**	Audit NFSv4 ACL consumers in UFS, OpenZFS, libc, utilities, archives, and tests before retaining, renaming, or removing the implementation.
investigate	review	11	bootp-kernel	sys/{conf,netinet,nfs,*/conf}/**	After NFS-root removal, determine whether kernel BOOTP has a non-NFS consumer and remove or relocate it accordingly.
investigate	review	11	bootp-loader	stand/**	Retain BOOTP/DHCP only for tested non-NFS loader paths and reassess obsolete RARP/RPC fallback behavior.
investigate	review	11	bootp-tools	tools/**	Remove NFS-root appliance examples and reassess remaining BOOTP examples and cleanup manifests.
